input_protein,input_ligand,input_docking_grid,output_ligand_name,output_ligand_dir2
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6X8D/6X8D_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6X8D/6X8D_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6X8D/6X8D_ligand_docking_grid_boxsize10.json,6X8D,posebustersv1_predict_sdf_boxsize10/6X8D
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XAF/6XAF_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XAF/6XAF_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XAF/6XAF_ligand_docking_grid_boxsize10.json,6XAF,posebustersv1_predict_sdf_boxsize10/6XAF
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XBO/6XBO_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XBO/6XBO_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XBO/6XBO_ligand_docking_grid_boxsize10.json,6XBO,posebustersv1_predict_sdf_boxsize10/6XBO
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XCT/6XCT_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XCT/6XCT_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XCT/6XCT_ligand_docking_grid_boxsize10.json,6XCT,posebustersv1_predict_sdf_boxsize10/6XCT
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XG5/6XG5_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XG5/6XG5_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XG5/6XG5_ligand_docking_grid_boxsize10.json,6XG5,posebustersv1_predict_sdf_boxsize10/6XG5
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XHT/6XHT_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XHT/6XHT_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XHT/6XHT_ligand_docking_grid_boxsize10.json,6XHT,posebustersv1_predict_sdf_boxsize10/6XHT
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XM9/6XM9_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XM9/6XM9_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XM9/6XM9_ligand_docking_grid_boxsize10.json,6XM9,posebustersv1_predict_sdf_boxsize10/6XM9
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XUM/6XUM_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XUM/6XUM_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6XUM/6XUM_ligand_docking_grid_boxsize10.json,6XUM,posebustersv1_predict_sdf_boxsize10/6XUM
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Y7L/6Y7L_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Y7L/6Y7L_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Y7L/6Y7L_ligand_docking_grid_boxsize10.json,6Y7L,posebustersv1_predict_sdf_boxsize10/6Y7L
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YDY/6YDY_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YDY/6YDY_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YDY/6YDY_ligand_docking_grid_boxsize10.json,6YDY,posebustersv1_predict_sdf_boxsize10/6YDY
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YJA/6YJA_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YJA/6YJA_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YJA/6YJA_ligand_docking_grid_boxsize10.json,6YJA,posebustersv1_predict_sdf_boxsize10/6YJA
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YMS/6YMS_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YMS/6YMS_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YMS/6YMS_ligand_docking_grid_boxsize10.json,6YMS,posebustersv1_predict_sdf_boxsize10/6YMS
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YQV/6YQV_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YQV/6YQV_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YQV/6YQV_ligand_docking_grid_boxsize10.json,6YQV,posebustersv1_predict_sdf_boxsize10/6YQV
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YQW/6YQW_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YQW/6YQW_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YQW/6YQW_ligand_docking_grid_boxsize10.json,6YQW,posebustersv1_predict_sdf_boxsize10/6YQW
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YR2/6YR2_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YR2/6YR2_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YR2/6YR2_ligand_docking_grid_boxsize10.json,6YR2,posebustersv1_predict_sdf_boxsize10/6YR2
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YRV/6YRV_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YRV/6YRV_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YRV/6YRV_ligand_docking_grid_boxsize10.json,6YRV,posebustersv1_predict_sdf_boxsize10/6YRV
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YSP/6YSP_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YSP/6YSP_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YSP/6YSP_ligand_docking_grid_boxsize10.json,6YSP,posebustersv1_predict_sdf_boxsize10/6YSP
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YT6/6YT6_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YT6/6YT6_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YT6/6YT6_ligand_docking_grid_boxsize10.json,6YT6,posebustersv1_predict_sdf_boxsize10/6YT6
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YYO/6YYO_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YYO/6YYO_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6YYO/6YYO_ligand_docking_grid_boxsize10.json,6YYO,posebustersv1_predict_sdf_boxsize10/6YYO
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z0R/6Z0R_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z0R/6Z0R_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z0R/6Z0R_ligand_docking_grid_boxsize10.json,6Z0R,posebustersv1_predict_sdf_boxsize10/6Z0R
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z14/6Z14_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z14/6Z14_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z14/6Z14_ligand_docking_grid_boxsize10.json,6Z14,posebustersv1_predict_sdf_boxsize10/6Z14
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z1C/6Z1C_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z1C/6Z1C_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z1C/6Z1C_ligand_docking_grid_boxsize10.json,6Z1C,posebustersv1_predict_sdf_boxsize10/6Z1C
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z2C/6Z2C_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z2C/6Z2C_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z2C/6Z2C_ligand_docking_grid_boxsize10.json,6Z2C,posebustersv1_predict_sdf_boxsize10/6Z2C
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z4N/6Z4N_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z4N/6Z4N_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z4N/6Z4N_ligand_docking_grid_boxsize10.json,6Z4N,posebustersv1_predict_sdf_boxsize10/6Z4N
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z5Z/6Z5Z_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z5Z/6Z5Z_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6Z5Z/6Z5Z_ligand_docking_grid_boxsize10.json,6Z5Z,posebustersv1_predict_sdf_boxsize10/6Z5Z
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZAE/6ZAE_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZAE/6ZAE_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZAE/6ZAE_ligand_docking_grid_boxsize10.json,6ZAE,posebustersv1_predict_sdf_boxsize10/6ZAE
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZC3/6ZC3_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZC3/6ZC3_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZC3/6ZC3_ligand_docking_grid_boxsize10.json,6ZC3,posebustersv1_predict_sdf_boxsize10/6ZC3
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZCY/6ZCY_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZCY/6ZCY_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZCY/6ZCY_ligand_docking_grid_boxsize10.json,6ZCY,posebustersv1_predict_sdf_boxsize10/6ZCY
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZK5/6ZK5_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZK5/6ZK5_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZK5/6ZK5_ligand_docking_grid_boxsize10.json,6ZK5,posebustersv1_predict_sdf_boxsize10/6ZK5
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZPB/6ZPB_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZPB/6ZPB_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZPB/6ZPB_ligand_docking_grid_boxsize10.json,6ZPB,posebustersv1_predict_sdf_boxsize10/6ZPB
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZR8/6ZR8_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZR8/6ZR8_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZR8/6ZR8_ligand_docking_grid_boxsize10.json,6ZR8,posebustersv1_predict_sdf_boxsize10/6ZR8
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZT2/6ZT2_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZT2/6ZT2_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZT2/6ZT2_ligand_docking_grid_boxsize10.json,6ZT2,posebustersv1_predict_sdf_boxsize10/6ZT2
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZX3/6ZX3_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZX3/6ZX3_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZX3/6ZX3_ligand_docking_grid_boxsize10.json,6ZX3,posebustersv1_predict_sdf_boxsize10/6ZX3
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZXQ/6ZXQ_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZXQ/6ZXQ_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/6ZXQ/6ZXQ_ligand_docking_grid_boxsize10.json,6ZXQ,posebustersv1_predict_sdf_boxsize10/6ZXQ
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A1P/7A1P_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A1P/7A1P_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A1P/7A1P_ligand_docking_grid_boxsize10.json,7A1P,posebustersv1_predict_sdf_boxsize10/7A1P
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A9E/7A9E_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A9E/7A9E_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A9E/7A9E_ligand_docking_grid_boxsize10.json,7A9E,posebustersv1_predict_sdf_boxsize10/7A9E
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A9H/7A9H_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A9H/7A9H_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7A9H/7A9H_ligand_docking_grid_boxsize10.json,7A9H,posebustersv1_predict_sdf_boxsize10/7A9H
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AA0/7AA0_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AA0/7AA0_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AA0/7AA0_ligand_docking_grid_boxsize10.json,7AA0,posebustersv1_predict_sdf_boxsize10/7AA0
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AFX/7AFX_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AFX/7AFX_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AFX/7AFX_ligand_docking_grid_boxsize10.json,7AFX,posebustersv1_predict_sdf_boxsize10/7AFX
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AKL/7AKL_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AKL/7AKL_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AKL/7AKL_ligand_docking_grid_boxsize10.json,7AKL,posebustersv1_predict_sdf_boxsize10/7AKL
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AMC/7AMC_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AMC/7AMC_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AMC/7AMC_ligand_docking_grid_boxsize10.json,7AMC,posebustersv1_predict_sdf_boxsize10/7AMC
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AN5/7AN5_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AN5/7AN5_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AN5/7AN5_ligand_docking_grid_boxsize10.json,7AN5,posebustersv1_predict_sdf_boxsize10/7AN5
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AS1/7AS1_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AS1/7AS1_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AS1/7AS1_ligand_docking_grid_boxsize10.json,7AS1,posebustersv1_predict_sdf_boxsize10/7AS1
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AVI/7AVI_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AVI/7AVI_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7AVI/7AVI_ligand_docking_grid_boxsize10.json,7AVI,posebustersv1_predict_sdf_boxsize10/7AVI
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B0E/7B0E_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B0E/7B0E_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B0E/7B0E_ligand_docking_grid_boxsize10.json,7B0E,posebustersv1_predict_sdf_boxsize10/7B0E
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B2C/7B2C_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B2C/7B2C_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B2C/7B2C_ligand_docking_grid_boxsize10.json,7B2C,posebustersv1_predict_sdf_boxsize10/7B2C
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B94/7B94_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B94/7B94_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7B94/7B94_ligand_docking_grid_boxsize10.json,7B94,posebustersv1_predict_sdf_boxsize10/7B94
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BA0/7BA0_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BA0/7BA0_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BA0/7BA0_ligand_docking_grid_boxsize10.json,7BA0,posebustersv1_predict_sdf_boxsize10/7BA0
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BCP/7BCP_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BCP/7BCP_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BCP/7BCP_ligand_docking_grid_boxsize10.json,7BCP,posebustersv1_predict_sdf_boxsize10/7BCP
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BHX/7BHX_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BHX/7BHX_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BHX/7BHX_ligand_docking_grid_boxsize10.json,7BHX,posebustersv1_predict_sdf_boxsize10/7BHX
/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BJ6/7BJ6_protein.pdb,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BJ6/7BJ6_ligand.sdf,/data/fan_zg/MDocking/CrossDocked2020/data/posebustersv1/posebustersv1/7BJ6/7BJ6_ligand_docking_grid_boxsize10.json,7BJ6,posebustersv1_predict_sdf_boxsize10/7BJ6
